store_name,company,revenue_monthly,amazon_start,phone,directors,email,province,category,subcategory,seller_url,mercantile_registry,business_address,follow_up,action_label,status,import_email
HSNstore,Harrison Sport Nutrition S.L.,1694178.57,,+34649919811,SANCHEZ ROMERO CASTELLANO JOSE ANDRES (Administrador único); LOPEZ MORILLAS GLORIA EMILIA (Administrador único),hsnstore@gmail.com,ASTURIAS,Salud y cuidado personal,"Vitaminas, minerales y suplementos en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A1S9HCFN660017,B72077159,"Calle Melquiades Álvarez, 26, 1ºA, Oviedo, Asturias, 33003, ES",,,pendiente,alejandro@libertyseller.com
LEDUNI GLOBAL S.L,LEDUNI GLOBAL SL,1312856.06,,+34604883128,LI LI (Administrador solidario); FAN ZHOUYI (Administrador solidario),fanzhouyi83@gmail.com,MADRID,Iluminación,Ventiladores de techo,https://www.amazon.es/sp?seller=A1ULLCF1BZ4APM,B87812681,"CALLE LOS VASCOS N25C, FUENLABRADA, MADRID, 28947, ES",,,pendiente,alejandro@libertyseller.com
Inten Distribution,Verkall Inten Internacional S.L.,1012069.26,,+34 646 66 88 98,LOPEZ ALGUACIL JESUS (Administrador único),verkall.inten@gmail.com,TOLEDO,Hogar y cocina,Tumbonas,https://www.amazon.es/sp?seller=A2366BXUT29T5R,B45907797,"Calle la Fabrica 11, Ajofrin, TOLEDO, 45110, ES",,,pendiente,alejandro@libertyseller.com
TUELEKTRO,TUELEKTRO WEB S.L,861206.58,,+34618110908,CATALA DOMENECH JORDI (Administrador solidario); CATALA DOMENECH ANNA (Administrador solidario),comercial@tuelektro.com,BARCELONA,Grandes electrodomésticos,Frigoríficos combi,https://www.amazon.es/sp?seller=A35LL80LOSPQU1,B02752962,"AV. VALENCIA, 6, MOLINS DE REI, BARCELONA, 08750, ES",,,pendiente,alejandro@libertyseller.com
Supersonido,Supersonido Bilbao S.L.,750699.96,,+34 944 33 83 18,RUBIO LOPEZ ANGEL (Apoderado); RUBIO LOPEZ SERGIO (Apoderado); RUBIO LOPEZ ERNESTO. (Apoderado),bilbao@supersonido.es,ESPAÑA,Electrónica,Tocadiscos,https://www.amazon.es/sp?seller=A2O147X8ND1FSL,B48475222,"Calle Zabalbide 49, Bilbao, España, 48006, ES",,,pendiente,alejandro@libertyseller.com
Geekmarket tech,SUPERSONIK FINANCE SL,701760.73,,+34683549084,,geekmarketorders@gmail.com,VALENCIA,Electrónica,Móviles y smartphones libres,https://www.amazon.es/sp?seller=A28HFHHGBMSG5M,B67965467,"Calle Uruguai 13 Oficina 510, Valencia, Valencia, 46007, ES",,,pendiente,alejandro@libertyseller.com
King Kong Chemical,"AQUAPOOL CHEMICAL, S.L.",650105.92,,+34 698 96 76 28,PEÑALVER GIL JOSE JAVIER. (Consejero); ANTONMEANA ADOLFO (Consejero); ESPINOSA IBAÑEZ LAURA (Consejero); ESPINOSA IBAÑEZ LAURA. (Consejero); GARCIA ALCAZAR PEDRO JOSE (Consejero); GARCIA ALCAZAR PEDRO JOSE. (Consejero),info@kingkongchem.com,LA RIOJA,Jardín,Cloro para piscinas y bañeras de hidromasaje,https://www.amazon.es/sp?seller=AC1EWS3FVKHFN,ESB01806892,"POL. AZUCARERA, C/Falfarracín, 32, CALAHORRA, La Rioja, 26500, ES",,,pendiente,alejandro@libertyseller.com
Jardin202,"GARDENLAND 202, S.L.",598861.38,,954329262.0,CABELLO MURIANA EZEQUIEL (Administrador único),jardin202@jardin202.com,SEVILLA,Jardín,Ventiladores de techo,https://www.amazon.es/sp?seller=A3L87O1ABB7429,B90219957,"CALLE CINCO 42-44, Alcalá de Guadaira, Sevilla, 41500, ES",,,pendiente,alejandro@libertyseller.com
Zenement España,Bitio Project SL,568313.68,,+34690633290,PAGAN BETORZ GONCAL (Administrador único),goncal@bitio.com,BARCELONA,Salud y cuidado personal,"Magnesio en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A1JWUZGE4TADZC,B66104100,"Calle Salut 51, Sabadell, Barcelona, 08202, ES",,,pendiente,alejandro@libertyseller.com
TechInn,Tradeinn Retail Services,520015.81,,+34 932 20 00 89,JUAN DAVID MARTIN GAYA. (Consejero delegado); ALFONSO COMPANYS BELVER. (Consejero); JUAN DAVID MARTIN GAYA (Consejero); ALFONSO COMPANYS BELVER (Consejero); SUMA CAPITAL ASESORAMIENTO SL (Consejero),marketplaces.techinn@gmail.com,SPAIN,Videojuegos,Móviles y smartphones libres,https://www.amazon.es/sp?seller=A3VPHLYHPCJKES,B17527524,"carrer pirineus, 9, Celrà, Spain, 17460, ES",,,pendiente,alejandro@libertyseller.com
NUTRIEXPERTS,NUTRIEXPERTS S.L.,514484.93,,+34679430847,sin cargos relevantes,admin@nutriexperts.eu,BARCELONA,Salud y cuidado personal,"Magnesio en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A1AYO8UA0MVW7Q,B06770051,"Calle Vallespir 19 3 5, Sant Cugat del Vallès, Barcelona, 08173, ES",,,pendiente,alejandro@libertyseller.com
Wakkap,INCENTIVO DE SISTEMA LUDICO INTERACTIVO SL,474424.57,,+34 649 92 40 13,SALAZAR PARAMO ISABEL. (Representante); SALAZAR BELLO RAUL JAIME. (Representante); SALAZAR PARAMO ISABEL (Consejero); BIAÑEZ SL (Consejero); SALAZAR PARAMO MANUEL ROMAN (Consejero),manuel.salazar@wakkap.com,MADRID,Videojuegos,Hardware y juegos para PlayStation 5,https://www.amazon.es/sp?seller=AXF157YD3VCXM,B87369930,"Calle de los Reyes Católicos 6 Nave 407, Alcobendas, Madrid, 28108, ES",,,pendiente,alejandro@libertyseller.com
EDIESI,EDIESI SL,463092.01,,+34688794971,J2 TRAILBLAZERS GROUP SL (Socio único); SANCHEZ SORIANO JAVIER. (Apoderado); SANCHEZ SORIANO JORGE (Administrador único),ediesispain@gmail.com,ALICANTE,Hogar y cocina,Masajeadores eléctricos para pies,https://www.amazon.es/sp?seller=A1SQHUCOYXDERL,ESB42623504,"PASEO RONDA 88BJ, ELDA, ALICANTE, 03600, ES",,,pendiente,alejandro@libertyseller.com
LED ATOMANT,Led Atomant SL,429514.08,,+34911976869,TRINCADO BOVILLE PABLO (Administrador solidario); FERNANDEZ REY JOSE LUIS (Administrador solidario); CAÑETE DEL CAMPO HECTOR (Administrador solidario),atomant@led-atomant.com,A CORUÑA,Iluminación,Iluminación de techo de interior,https://www.amazon.es/sp?seller=A1VN6Y0YNWBAMY,B70403225,"calle severo ochoa 29B, A Coruña, A Coruña, 15008, ES",,,pendiente,alejandro@libertyseller.com
N2 Natural Nutrition,Double Wear SL,419073.15,,+34619273899,VISION HEALTHCARE BV (Socio único); MERINO BAEZA JULIAN ANGEL (Administrador único); OKAVANGO BV (Administrador solidario); LAMAIRE BERNARD (Representante); LLAVERO PEREDA DANIEL JESUS (Apoderado); BENITO MARTIN MARIA JOSE (Administrador único); PEÑALVER REID GERALDINE ERIKA (Administrador único),clientdwear@gmail.com,MADRID,Salud y cuidado personal,"Colágeno en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A1XL3UKWPR4N60,B87853305,"Jose Echegaray 8, Edif 3, piso 2, Modulo 5, Las Rozas, Madrid, 28232, ES",,,pendiente,alejandro@libertyseller.com
MERCAMICRO,INFORMÁTICA MERCAMICRO SL,364204.14,,+34914296402,FLORES VALVERDE MARIA DEL ROSARIO (Apoderado); PIÑA SESEÑA JUAN CARLOS (Administrador solidario); TORRES MARTINEZ VICTOR (Administrador solidario),info@mercamicro.es,ESPAÑA,Informática,Monitores,https://www.amazon.es/sp?seller=A3AY5X0BZDQXTH,B80932189,"CALLE ATOCHA, 45, LOCAL, MADRID, ESPAÑA, 28012, ES",,,pendiente,alejandro@libertyseller.com
Flashcommerce,FLASH COMMERCE SL,352757.41,,+34683337198,,flashcommerce.es@gmail.com,MURCIA,Belleza,Cápsulas y pastillas de detergente para textiles,https://www.amazon.es/sp?seller=APM0UM23H1FKC,B75847111,"Paseo Fleming 22, Sabadell, Barcelona, 08206, ES",,,pendiente,alejandro@libertyseller.com
MedinetClinic S.L,Medinet Clinic sl,334476.96,,+34 925 95 28 00,ARENAS COMINO LUIS (Administrador solidario); MARTIN GOMEZ TAVIRA FERNANDO (Administrador solidario); SANTURE DOMINGUEZ ENRIQUE (Administrador único),medinet@medinetclinic.es,TOLEDO,Salud y cuidado personal,"Colágeno en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A16PC57HPOUNBA,B45698602,"Avenida Reyes Católicos 9, Sonseca, Toledo, 45100, ES",,,pendiente,alejandro@libertyseller.com
NutriBrain,NANOBOOST SL,329282.53,,+34936001448,sin cargos relevantes,nanoboostbcn@gmail.com,CATALUÑA,Salud y cuidado personal,"Magnesio en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=A1O0UPNIJOMGNY,B67130864,"Calle industria 29 Polígono industrial comtes de Sert, Castellbisbal, Barcelona, 08755, ES",,,pendiente,alejandro@libertyseller.com
TT OFFCIAL,"DIGISANSE, SOCIEDAD LIMITADA",303796.03,,+34695101459,SHI LONGXIANG (Administrador único),cuco.internacional@gmail.com,MADRID,Electrónica,Móviles y smartphones libres,https://www.amazon.es/sp?seller=A39Z68BK84K20E,B86438140,"CALLE ISABEL COLBRAND (OF81), NUM. 10 PLANTA 2, MADRID, MADRID, 28050, ES",,,pendiente,alejandro@libertyseller.com
dinydon,Juguetes Quevedo's S.L.,282446.79,,988256603.0,QUEVEDO VALUGO JOSE MANUEL (Administrador solidario); RAMOS RAMOS ANA MARIA (Administrador solidario),info@dinydon.com,OURENSE,Juguetes y juegos,Sets de construcción,https://www.amazon.es/sp?seller=A2RBD3Z3LRP8NR,B32252710,"P.E Pereiro de Aguiar, vial principal naves 30-31, O Pereiro de Aguiar, Ourense, 32710, ES",,,pendiente,alejandro@libertyseller.com
RALCA SHOP,"Ralca Telecom, S.L.",272526.7,,+34609346522,SEGURA ECHANIZ ALVARO (Administrador solidario),info@ralca.com,BARCELONA,Informática,Monitores,https://www.amazon.es/sp?seller=A34GTH0GQQB3C8,B63638662,"Vía Augusta 238 AT, Barcelona, Barcelona, 08021, ES",,,pendiente,alejandro@libertyseller.com
TRADINEUR,TRADINEUR COMMERCE EUROPE SL,267400.0,,+34982986052,ZHOU XU XINGOU (Administrador único); ZHOU NI MENGYONG (Administrador único); MENDEZ VILAR MICHAEL (Apoderado),admin@tradineur.com,LUGO,Hogar y cocina,Cubos de almacenaje con tapa,https://www.amazon.es/sp?seller=A2ZO9916TVVY40,B27464262,"C/ RIO LADRA 1 7 A, LUGO, LUGO, 27003, ES",,,pendiente,alejandro@libertyseller.com
Vinos Baco,Distribuidora de Bebidas Baco S.A,256122.61,,+34682033001,DE FRUTOS SANZ JUAN CARLOS. (Administrador único); DE FRUTOS MUÑOZ PEDRO MANUEL (Administrador solidario); DE FRUTOS SANZ JUAN CARLOS (Administrador solidario); SANZ SANZ MARIA ANGELES (Administrador solidario),info@vinosbaco.com,MADRID,Alimentación y Bebidas,Whisky,https://www.amazon.es/sp?seller=A1VF4IDDE6TGGB,A28866523,"Calle San Bernardo, 117, Madrid, Madrid, 28015, ES",,,pendiente,alejandro@libertyseller.com
