ref_erp,sku_amazon,asin,ean_amazon,ean_erp,ean_final,origen_ean,metodo_match,sku_coincide,ean_coincide,todos_ean_erp,situacion_erp,titulo_amazon,is_active,notes
50119247,50119247,B01N10UTJW,,4050300646077,4050300646077,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50119247, 4050300646077, 4050300646084",Normal,,true,
50128808,50128808,B002RWDJMA,4052305642504,4008321207715,4052305642504,Helium 10,SKU = ref ERP,SI,NO — EAN no existe en ERP,"50128808, 4008321207715, 4008321207722",Preferente,OSRAM - Bombilla halógena lineal 400W=400 R7s 2.000 horas,true,
50137794,50137794,B0049OZJ5E,,4008321928078,4008321928078,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50137794, 4008321327758, 4008321928078",Preferente,,true,
50137800,50137800,B001QP70QK,4052305642443,4008321928092,4052305642443,Helium 10,SKU = ref ERP,SI,NO — EAN no existe en ERP,"50137800, 4008321327772, 4008321928092",Preferente,"Osram 64695 HV - Bombilla halógena lineal 120W=230V, R7s, 2.000 horas, 74.9 x 12 mm",true,
50142378,50142378,B002NTILV6,,4008321393746,4008321393746,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50142378, 4008321393746, 4008321393753",Normal,,true,
50142996,50142996,B002MFHXPG,4008321945341,4008321945334,4008321945341,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"50142996, 4008321945334, 4008321945341",Preferente,Osram hal - Lámpara 66748 es 48w 230v g9,true,
50159710,50159710,B004QVQI32,,4008321544438,4008321544438,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"50159710, 4008321544438",Normal,,true,
,71299,B07NXTYYRB,15410288712991,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,LAMPARA Solarium Bronceado TUBO Fluorescente RAYOS UVA SYLVANIA 0071299 Puresun 180W-R 2000mm 1000 Horas,true,
80000002,80000002,B016C0P0EW,,5410288266909,5410288266909,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000002, 5410288263328, 5410288266909, 5410288292083",Normal,,true,
80000706,80000706,B016C0INGO,,5410288474410,5410288474410,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000706, 5410288474410",Preferente,,true,
80000730,80000730,B016C0Q550,,5410288393100,5410288393100,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000730, 5410288393100",Normal,,true,
80000738,80000738,B015QN7QFC,,5410288271477,5410288271477,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000738, 5410288271477",Normal,,true,
80000739,80000739,B015PS55S8,,5410288271378,5410288271378,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000739, 5410288271378, 5410288293318",Normal,,true,
80000740,80000740,B01EWUOUFO,5410288266688,5410288266688,5410288266688,Helium 10,SKU = ref ERP,SI,SI,"80000740, 5410288266688, 5410288295855",Preferente,"Sylvania toledo - Lámpara led toledo gls v2 8,5w 806lm e27 sl",true,
80000795,80000795,B01EG6P86O,5410288273709,5410288273709,5410288273709,Helium 10,SKU = ref ERP,SI,SI,"80000795, 5410288273709, 5410288282305, 5410288282756, 5410288282848",Preferente,Sylvania toledo - Lámpara tubo toledo t8 v3 600mm 10w 1000lm 840,true,
80000796,80000796,B01EG827PM,5410288273747,5410288273747,5410288273747,Helium 10,SKU = ref ERP,SI,SI,"80000796, 5410288273747, 5410288282336",Preferente,"Sylvania 0027374 2000LM T8 V3 840 Toledo Lamparas, 1200mm, 20W",true,
80000797,80000797,B01EG8B8KM,,5410288273761,5410288273761,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80000797, 5410288273761, 5410288282367, 5410288282817, 5410288292984",Preferente,,true,
80001939,80001939,B01MSDYOOU,,5410288532936,5410288532936,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80001939, 5410288532936",Preferente,,true,
80001940,80001940,B01N4UI6SY,,5410288532943,5410288532943,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80001940, 5410288532943",Normal,,true,
80001959,80001959,B01HBB3Q8I,,5410288535432,5410288535432,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80001959, 5410288535432",Preferente,,true,
80001960,80001960,B01M35YK3O,,5410288535449,5410288535449,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80001960, 5410288535449",Preferente,,true,
80002109,80002109,B01N28SPJU,,5410288532899,5410288532899,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002109, 5410288532899, 5410288551852",Normal,,true,
80002110,80002110,B01MZGAAOB,,5410288532929,5410288532929,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002110, 5410288532929",Normal,,true,
80002115,80002115,B01N28TBJO,,5410288533025,5410288533025,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002115, 5410288533025",Normal,,true,
80002156,80002156,B01MSVS9WT,,5410288266169,5410288266169,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002156, 5410288266169",Normal,,true,
