,,,,,,,,,,,,,,,,,,,
DICIEMBRE 2025,VENTAS ES 🇪🇸,VENTAS DE 🇩🇪,VENTAS IT 🇮🇹,VENTAS PT 🇵🇹,VENTAS FR 🇫🇷,DEVOS ES 🇪🇸,DEVOS DE 🇩🇪,DEVOS IT 🇮🇹,DEVOS PT 🇵🇹,DEVOS FR 🇫🇷,% DEVOLUCIONES,% Diferencia,SUMA ENVÍOS,DEVS ENVÍOS,BRUTO TOTAL,NETO TOTAL,Excedente,Comisiones LS,Pago LS
2025,"83.944,39 €",,,"658,92 €",,"-11.456,56 €",,,"-243,66 €",,"-13,83%","1,19%","77,24 €","-16,28 €","84.680,55 €","72.964,05 €","15.111,38 €",,"1.000,00 €"
2024,"67.904,12 €",,,"167,16 €",,"-10.111,97 €",,,"-111,52 €",,"-15,02%",,"9,76 €","-4,88 €","68.081,04 €","57.852,67 €",,,
,,,,,,,,,,,,,,,,,,,
ENERO,VENTAS ES 🇪🇸,VENTAS DE 🇩🇪,VENTAS IT 🇮🇹,VENTAS PT 🇵🇹,VENTAS FR 🇫🇷,DEVOS ES 🇪🇸,DEVOS DE 🇩🇪,DEVOS IT 🇮🇹,DEVOS PT 🇵🇹,DEVOS FR 🇫🇷,% DEVOLUCIONES,% Diferencia,SUMA ENVÍOS,DEVS ENVÍOS,BRUTO TOTAL,NETO TOTAL,Excedente,Comisiones LS,Pago LS
2026,"43.990,21 €","1.470,20 €","534,10 €","199,62 €","76,53 €","-13.585,64 €","-167,61 €","0,00 €","-151,98 €","0,00 €","-30,05%","3,14%","22,37 €","-14,70 €","46.293,03 €","32.373,10 €","4.746,03 €","453,34 €","953,34 €"
2025,"41.249,70 €",,,"87,60 €",,"-13.721,19 €",,,,,"-33,19%",,"10,96 €",,"41.348,26 €","27.627,07 €",,,
,,,,,,,,,,,,,,,,,,,
FEBRERO,VENTAS ES 🇪🇸,VENTAS DE 🇩🇪,VENTAS IT 🇮🇹,VENTAS PT 🇵🇹,VENTAS FR 🇫🇷,DEVOS ES 🇪🇸,DEVOS DE 🇩🇪,DEVOS IT 🇮🇹,DEVOS PT 🇵🇹,DEVOS FR 🇫🇷,% DEVOLUCIONES,% Diferencia,SUMA ENVÍOS,DEVS ENVÍOS,BRUTO TOTAL,NETO TOTAL,Excedente,Comisiones LS,Pago LS
2026,"26.672,76 €","1.617,82 €","1.162,59 €","125,47 €","0,00 €","-9.129,77 €","-464,63 €","-242,48 €","0,00 €","0,00 €","-33,26%","-8,77%","33,80 €","-6,99 €","29.612,44 €","19.768,57 €","3.481,92 €","142,38 €","642,38 €"
2025,"21.428,34 €",,,"123,77 €",,"-5.276,87 €",,,,,"-24,48%",,"11,41 €",,"21.563,52 €","16.286,65 €",,,
,,,,,,,,,,,,,,,,,,,
