"Localización","Imagen","Título","Clasificación de Ventas: Actual","Clasificación de Ventas: Promedio de 90 días","Clasificación de Ventas: Descensos en los últimos 90 días","Clasificación de Ventas: Referencia","Clasificación de Ventas: Grupo de visualización","Clasificación de Ventas: Subcategoría Clasificación de Ventas","Tendencias de ventas mensuales: Comprados el mes pasado","Tendencias de ventas mensuales: Cambio en 90 días % vendido mensualmente","Tasa de devolución","Opiniones: Valoraciones","Opiniones: Cantidad de valoraciones","Opiniones: Recuento de Revisiones - Específico del formato","Último cambio de precio","Caja de Compra: Actual","Caja de Compra: Promedio de 90 días","Caja de Compra: Stock","Caja de Compra: 90 días A.G.","Caja de Compra: Vendedor Caja de Compra","Caja de Compra: País de envío","Caja de Compra: Precio tachado","Caja de Compra: % Amazon 90 días","Caja de Compra: % Mejor vendedor 90 días","Caja de Compra: Recuento de ganadores 90 días","Caja de Compra: Desviación estándar 90 días","Caja de Compra: Capacidad de cambio 90 días","Caja de Compra: Es FBA","Caja de Compra: No calificado","Caja de Compra: Prime elegible","Caja de Compra: Compra recurrente","Amazon: Actual","Amazon: Promedio de 90 días","Amazon: Stock","Nuevo: Actual","Nuevo: Promedio de 90 días","Nuevo: 90 días A.G.","Nuevo, de Vendedor Externo FBA: Actual","Nuevo, de Vendedor Externo FBA: Promedio de 90 días","Nuevo, de Vendedor Externo FBA: Stock","Tarifa FBA Pick&Pack","% de comisión de referencia","Comisión de referencia basada en el precio actual de la Buy Box","Nuevo, de Vendedor Externo FBM: Actual","Nuevo, de Vendedor Externo FBM: Promedio de 90 días","Nuevo, de Vendedor Externo FBM: Stock","Nuevo, exclusivo de Prime: Actual","Nuevo, exclusivo de Prime: Promedio de 90 días","Oferta flash: Actual","Caja de Compra Usado: Actual","Caja de Compra Usado: Promedio de 90 días","Caja de Compra Usado: Caja de Compra Usado Vendedor","Caja de Compra Usado: Es FBA","Caja de Compra Usado: Condición","Usado: Actual","Usado: Promedio de 90 días","Usado: 90 días A.G.","Usado, como nuevo: Actual","Usado, como nuevo: Promedio de 90 días","Usado, muy bueno: Actual","Usado, muy bueno: Promedio de 90 días","Usado, bueno: Actual","Usado, bueno: Promedio de 90 días","Usado, aceptable: Actual","Usado, aceptable: Promedio de 90 días","Oferta de almacén: Actual","Oferta de almacén: Promedio de 90 días","Lista de precio: Actual","Lista de precio: Promedio de 90 días","eBay Nuevo: Actual","eBay Nuevo: Promedio de 90 días","eBay Usado: Actual","eBay Usado: Promedio de 90 días","Recuento total de Ofertas","Recuento ofertas nuevas: Actual","Recuento ofertas nuevas: Promedio de 90 días","Recuento ofertas nuevas FBA: Actual","Recuento ofertas nuevas FBA: Promedio de 90 días","Recuento ofertas nuevas FBM: Actual","Recuento ofertas nuevas FBM: Promedio de 90 días","Recuento ofertas usadas: Actual","Recuento ofertas usadas: Promedio de 90 días","Seguimiento desde","Listado desde","URL: Slug de URL","Categorías: Principal","Categorías: Subcategoría","Categorías: Árbol","Grupo de visualización del sitio web: Nombre","ASIN","Imported by Code","Códigos de producto: UPC","Códigos de producto: EAN","Códigos de producto: GTIN","Códigos de producto: PartNumber","ASIN Padre","ASIN de variación","Artículos del paquete","Frecuencia comprados juntos","Tipo","Fabricante","Marca","Nombre de la tienda de marca","Nombre de la URL de la tienda de marca","Modelo","Atributos de variación","Color","Tamaño","Detalles de la unidad: Valor de la unidad","Detalles de la unidad: Tipo de unidad","Aroma","Forma del artículo","Patrón","Estilo","Material","Tipo de artículo","Público objetivo","Usos recomendados","Usos específicos","Beneficio del producto","Edición","Formato","Autor","Colaboradores","Encuesta","Número de artículos","Número de páginas","Fecha de publicación","Fecha de lanzamiento","Idiomas","Videos: Cantidad de Videos","Videos: Tiene video principal","Videos: Videos Principales","Videos: Videos Adicionales","Contenido A+: Tiene contenido A+","Paquete: Dimensión (cm³)","Paquete: Peso (g)","Paquete: Cantidad","Artículo: Dimensión (cm³)","Artículo: Peso (g)","Componentes incluidos","Ingredientes","Ingredientes activos","Ingredientes especiales","Advertencia de seguridad","Se requieren baterías","Baterías incluidas","Materiales peligrosos","Es HazMat","Es sensible al calor","Producto para adultos","Es Merch on Demand","Intercambio elegible","Ofertas: Tipo de oferta","Ofertas: Insignia","Cupón de un sólo uso: Absoluto","Cupón de un sólo uso: Porcentaje","Cupón de un sólo uso: Compra recurrente %","Descuento Comercial: Porcentaje"
"es","https://m.media-amazon.com/images/I/61we72Zhe0L.jpg;https://m.media-amazon.com/images/I/71-MotyzuKL.jpg;https://m.media-amazon.com/images/I/81KoOOCPqIL.jpg;https://m.media-amazon.com/images/I/71uHCGciV9L.jpg;https://m.media-amazon.com/images/I/71pfnxvy1-L.jpg;https://m.media-amazon.com/images/I/81LjE6kbr1L.jpg;https://m.media-amazon.com/images/I/71sus7Z5LAL.jpg","Ducray Kelual DS Intensive Shampoo Anti-drandruff 100ml","4856","9465","122","Belleza","beauty_display_on_website","# 369 | Top 1.24% | Champús","50","7 %","","4.1","25","-","2026/04/21 11:22","€ 17.95","€ 18.84","5","91 %","Esando (76%) / A107JX6JGD393K","ES","-","0 %","20 %","2","€ 0.87","9","no","no","yes","no","","","","€ 19.62","€ 20.29","1 %","€ 20.00","€ 24.14","18","€ 3.65","14.98 %","€ 2.69","€ 19.62","€ 20.28","542","","","","","","","no","","","","100 %","","","","","","","","","","","€ 0.00","€ 0.00","","","","","22","22","20","2","2","20","18","","","2025/10/27","2025/10/24","Ducray-Kelual-Intensive-Shampoo-Anti-drandruff","Belleza","Champús","Belleza › Belleza › Cuidado del cabello › Champú y acondicionador › Champús","Belleza","B0FXN4M2RR","3282770400786","","3282770400786","03282770400786","5372818","","","","","BEAUTY","Ducray","Ducray","","","","","","","100","mililitro","Floral","Líquido","","","","","Adultos unisex","","","","","","","","","1","","","","","0","no","","","no","351","130","","364","138","","WATER (AQUA). SODIUM LAURETH SULFATE. UNDECYLENAMIDOPROPYL BETAINE. DECYL GLUCOSIDE. CICLOPIROX OLAMINE. LAURETH-9. LACTAMIDE MEA. COCO-BETAINE. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID. FRAGRANCE (PARFUM). GLYCYRRHETINIC ACID. MENTHA PIPERITA (PEPPERMINT) FLOWER/LEAF/STEM EXTRACT (MENTHA PIPERITA FLOWER/LEAF/STEM EXTRACT). PENTYLENE GLYCOL. PIROCTONE OLAMINE. POLYQUATERNIUM-10. TRISODIUM ETHYLENEDIAMINE DISUCCINATE","","","Solo para uso externo. En caso de contacto con los ojos, enjuagar abundantemente.","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/51PYlRD2TwL.jpg;https://m.media-amazon.com/images/I/41IUwmwV5YL.jpg","ANACAPS REACTIV complemento alimenticio 30 cápsulas","10301","8796","120","Salud y cuidado personal","health_and_beauty_display_on_website","# 322 | Top 3% | Multivitaminas y minerales en medicamentos, remedios y suplementos dietéticos","50","-2 %","","4.2","117","-","2026/04/20 11:44","€ 23.88","€ 21.31","50","1 %","Perfume'sClub (81%) / AHPHJM2BAOTLC","ES","-","0 %","24 %","10","€ 1.73","72","no","no","no","no","","","","€ 23.88","€ 21.17","0 %","€ 23.56","€ 21.32","6","€ 3.80","14.99 %","€ 3.58","€ 23.88","€ 22.96","297","","","","","","","no","","","","100 %","","","","","","","","","","","€ 31.95","€ 31.95","","","","","17","17","23","4","8","13","14","","","2023/04/21","2023/04/20","ANACAPS-REACTIV-complemento-alimenticio-cápsulas","Salud y cuidado personal","Combinación de multivitaminas y minerales","Salud y cuidado personal › Vitaminas, minerales y suplementos › Combinación de multivitaminas y minerales","Material de oficina","B0C31QBVQ1","3282770389425","","3282770389425","","1541-89425","","","","","OFFICE_PRODUCTS","Ducray","Ducray","","","1541-89425","","Color","único","1","unidad","","","","Casual","Sintético","","","","","","","","","","","1","","","2019-06-01","English: Published","0","no","","","no","1697","30","1","70000","","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/516L7GJxA4L.jpg;https://m.media-amazon.com/images/I/51xZ8tEOS+L.jpg;https://m.media-amazon.com/images/I/51FkUDzlM4L.jpg;https://m.media-amazon.com/images/I/61jHIvkMNsL.jpg;https://m.media-amazon.com/images/I/51OzAb+nZ0L.jpg;https://m.media-amazon.com/images/I/51PM5CycLfL.jpg;https://m.media-amazon.com/images/I/41JknqNC1zL.jpg","NEOPTIDE EXPERT LOCION","25569","26956","52","Belleza","beauty_display_on_website","# 257 | Top 4% | Tratamientos crecepelos","","99 %","","4.1","127","-","2026/04/20 16:12","€ 45.45","€ 44.27","72","2 %","Beauty Lovy (48%) / A3IKBD5C66HYUX","PT","€ 43.18","0 %","42 %","5","€ 0.82","8","no","no","no","no","","","","€ 45.45","€ 42.97","0 %","€ 51.99","€ 51.99","16","€ 3.95","15 %","€ 6.82","€ 45.45","€ 44.19","447","","","","","","","no","","","","100 %","","","","","","","","","","","€ 59.95","€ 59.95","","","","","38","38","37","3","3","35","34","","","2023/04/17","2022/10/11","NEOPTIDE-EXPERT-anticaída-crecimiento-cabello","Belleza","Tratamientos crecepelos","Belleza › Belleza › Cuidado del cabello › Productos para la caída del cabello › Tratamientos crecepelos","Material de oficina","B0BFXD3VRP","3282770153255","","3282770153255","03282770153255","175791","","","","B0C31QBVQ1","TOPICAL_HAIR_REGROWTH_TREATMENT","Ducray","Ducray","","","1541-53255","","braun","100 ml (Paquete de 1)","100","mililitro","Neutral o suave","suero","","","","","","Recrecimiento del cabello","","","","","","","","1","","","2019-06-01","Inglés: Publicado","0","no","","","no","450","260","1","70000","99","","Agua (AQUA). Alcohol. Alcohol isopropílico. PEG-6 Hexilenglicol. Pentilenglicol. butilenglicol. Ácido cítrico. LESPEDEZA CAPITATA - Extracto de flor/hoja/tallo. Manganeso PCA. Poliacrilato-13. Poliisobuteno. Polisorbato 20. Silybum Marianum Extracto de fruta. DILAURAMIDOGLUTAMIDA LISINA DE SODIO. Fitato de sodio. Isoestearato de sorbitán.","Anchorane, Lespedeza, Mangolidona","","Solo para uso externo. Evita el contacto con los ojos. En caso de contacto, enjuaga bien con agua.","no","no","Proper Shipping Name: ETHANOL; United Nations Regulatory Id: UN1170; Regulatory Packing Group: II; Transportation Regulatory Class: 3; Exception: AE_LimitedQuantity, AU_LimitedQuantity, BE_LimitedQuantity, BR_LimitedQuantity, CA_LimitedQuantity, CN_GroundOnly, DE_LimitedQuantity, EG_LimitedQuantity, ES_LimitedQuantity, FR_LimitedQuantity, GB_LimitedQuantity, IE_LimitedQuantity, IN_GroundOnly, IT_LimitedQuantity, JP_GroundOnly, MX_LimitedQuantity, NL_LimitedQuantity, PL_LimitedQuantity, SA_LimitedQuantity, SE_LimitedQuantity, SG_LimitedQuantity, TR_LimitedQuantity, US_ORMD, ZA_LimitedQuantity;","yes","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/51iPJ7btmiL.jpg;https://m.media-amazon.com/images/I/61zFv6e7-7L.jpg","DUPLO EQUILIBRANTE CHAMPU 2X400 ML DUCRAY","7674","13567","83","Belleza","beauty_display_on_website","# 560 | Top 3% | Champús","","99 %","","4.5","78","19","2026/04/21 13:12","€ 23.98","€ 23.81","2","35 %","Distribuidor de Parafarmacia (78%) / A3DX4J4S0OG6AR","ES","-","0 %","28 %","7","€ 0.99","55","no","no","no","no","","€ 19.99","","€ 25.81","€ 23.40","1 %","","€ 25.79","","€ 3.95","15.02 %","€ 3.60","€ 25.81","€ 24.81","1051","","","","","","","no","","","","100 %","","","","","","","","","","","€ 0.00","€ 7.35","","","","","14","14","13","","","14","13","","","2021/11/18","2021/07/02","DUPLO-EQUILIBRANTE-CHAMPU-2X400-DUCRAY","Belleza","Champús","Belleza › Belleza › Cuidado del cabello › Champú y acondicionador › Champús","Belleza","B098KJHW6F","3282779308533","","3282779308533","03282779308533","Sakioo-0522","B0CYX666T5","B098KJHW6F","","B08JFZR23D","SHAMPOO","DUCRAY","Ducray","","","63839","ScentName: Otros; Size: 400 ml (Paquete de 2);","Único","400 ml (Paquete de 2)","800","mililitro","Otros","Líquido","","","","","Adultos unisex","","","Nutre e hidrata el cabello, proporcionando una agradable sensación de frescor","","","","","","2","","","2021-07-02","","0","no","","","no","1342","900","1","70000","900","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/41FPCqURW6S.jpg","Ducray Ducray Ictyane Creme Emoliente 200Ml 1 Unidad 200 ml","13275","11929","70","Belleza","beauty_display_on_website","# 291 | Top 1.14% | Cremas corporales","","99 %","","4.6","266","68","2026/04/21 05:40","€ 15.01","€ 16.21","13","2 %","Esando (76%) / A107JX6JGD393K","ES","-","1 %","30 %","9","€ 0.90","31","no","no","yes","no","","€ 16.50","","€ 16.30","€ 16.15","0 %","€ 17.29","€ 16.23","51","€ 3.80","14.99 %","€ 2.25","€ 16.30","€ 16.77","579","","","","","","","no","","","","100 %","","","","","","","","","","","€ 37.90","€ 37.90","","","","","18","18","17","3","4","15","14","","","2020/03/13","2019/11/15","Ducray-Ictyane-Creme-Emoliente-Unidad","Belleza","Cremas","Belleza › Belleza › Cuidado de la piel › Cuerpo › Hidratantes › Cremas","Belleza","B07Z8J76J1","3282770204285","","3282770106992, 3282770204285","03282770204285","PRF4285","B0GHBZNZV1","B07Z8J76J1,B0G5BPKD6V","","","SKIN_MOISTURIZER","Ducray","Ducray","","","Prf4285","Size: 200 ml (Paquete de 1);","Crema","200 ml (Paquete de 1)","200","mililitro","Sin fragancia","Gel","","","","","Adultos unisex","Sequedad","Sequedad","Hidratante","","","","","","1","","","2017-07-20","English: Ingredients","0","no","","","no","1067","220","1","180","200","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/51aX8-aDQ7L.jpg;https://m.media-amazon.com/images/I/51PYKlI9beL.jpg;https://m.media-amazon.com/images/I/51kmQr9gT6L.jpg;https://m.media-amazon.com/images/I/51cSCBWNccL.jpg;https://m.media-amazon.com/images/I/511CS5UErLL.jpg;https://m.media-amazon.com/images/I/61NTt--V4ML.jpg","ANACAPS EXPERT","29167","20786","40","Salud y cuidado personal","health_and_beauty_display_on_website","# 9,639 | Top 9% | Vitaminas, minerales y suplementos en medicamentos, remedios y suplementos dietéticos","","99 %","","3.5","9","-","2026/04/20 06:12","€ 18.69","€ 18.77","6","1 %","Para Prestige (100%) / AEZY2NG3Q7J49","","-","0 %","79 %","4","€ 1.18","61","yes","no","yes","yes","","","","€ 18.69","€ 18.77","0 %","€ 18.69","€ 18.69","18","€ 3.60","14.98 %","€ 2.80","€ 24.27","€ 24.79","180","","","","","","","no","","","","100 %","","","","","","","","","","","€ 22.65","€ 24.90","","","","","10","10","8","2","1","8","7","","","2025/11/23","2022/10/07","ANACAPS-EXPERT-complemento-reaccional-cápsulas","Salud y cuidado personal","Vitaminas, minerales y suplementos","Salud y cuidado personal › Vitaminas, minerales y suplementos","Material de oficina","B0BG8DX7CK","3282770389029","","3282770389029","","Anacaps-300124-A","","","","B0BFXMZM31","NUTRITIONAL_SUPPLEMENT","Ducray","Ducray","","","3282770389029","","","30 unidad (Paquete de 1)","30","unidad","Sin fragancia","Cápsulas","","","","","","","","","","","","","Salud y Belleza","1","","","2019-06-01","Inglés: Publicado","0","no","","","no","218","32","1","70000","25","","Extracto de la parte aérea de culantrillo (Adiantum capillus-veneris L. ); L-Cistina; DL-Metionina; Envoltura de la cápsula: hidroxipropilmetilcelulosa; Maltodextrina; Extracto seco de fruto de arándano (Vaccinium myrtillus L. ); Sulfato de zinc monohidrato; extracto seco de fruto de cardo mariano (Silybum marianum (L.) Gaertn. ); Agentes de carga: Celulosa microcristalina; Sulfato ferroso seco; Agentes antiaglomerantes: estearato de magnesio; D-pantotenato de calcio; clorhidrato de piridoxina; D-biotina.","","","","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/417pPWOHFnL.jpg","Ducray Anaphase Reactiv Champú Anticaída 400 ml","11686","18162","75","Belleza","beauty_display_on_website","# 799 | Top 1.93% | Champús","","99 %","","3.5","3","-","2026/04/18 22:22","","€ 17.15","","63 %","-","","-","0 %","22 %","5","€ 0.33","7","no","yes","no","no","","","","€ 19.99","€ 17.50","1 %","","€ 21.21","99","€ 3.85","14.99 %","-","","€ 17.88","255","","","","","","","no","","","","100 %","","","","","","","","","","","€ 25.90","€ 25.90","","","","","24","24","26","","2","24","25","","","2025/05/31","2025/05/30","Ducray-Anaphase-Anti-Hair-Shampoo-400ml","Belleza","Champús","Belleza › Belleza › Cuidado del cabello › Champú y acondicionador › Champús","Belleza","B0FB9PFHVS","3282770398151","","3282770398151","03282770398151","","","","","B0BFXMZM31,B0BKMV8W43","TOPICAL_HAIR_REGROWTH_TREATMENT","Pierre Fabre","Ducray","","","","","","1 ml (Paquete de 1)","1","mililitro","Fresco.","Líquido","","","","","Adultos unisex","Pérdida de cabello reactiva y crecimiento del cabello","","Anticaída del cabello","","","","","","1","","","2025-09-04","","0","no","","","no","676","450","","684","400","","Pellicer (aminoácidos): protección y reparación de la fibra capilar externa e interna. Manganeso (minerales): fortalece el cabello y prolonga el ciclo del cabello, promueve la microcirculación, ayuda a activar la fase anágena. Adenosina: crecimiento del cabello, prolonga la fase anágena, previene la caída del cabello.","Pellicer (aminoácidos), Manganeso (minerales), Adenosina","","Solo para uso externo. En caso de contacto con los ojos, enjuague bien con agua. Deje de usar en caso de reacciones alérgicas o irritaciones.","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/51rhMOnMTLL.jpg","Champú de la marca DUCRAY ideal para Unisex adulto","127841","121964","0","Belleza","beauty_display_on_website","# 6,234 | Top 14% | Champús","","","","3.6","5","-","2026/04/17 15:36","","","","100 %","-","","-","0 %","0 %","0","-","5","no","yes","no","no","","","","€ 20.95","€ 14.14","0 %","€ 24.99","€ 24.70","2","€ 3.85","14.97 %","-","€ 20.95","€ 18.43","212","","","","","","","no","","","","100 %","","","","","","","","","","","€ 28.31","€ 28.31","","","","","9","9","10","1","1","8","9","","","2023/11/29","2023/09/22","Champú-marca-DUCRAY-Unisex-adulto","Belleza","Champús","Belleza › Belleza › Cuidado del cabello › Champú y acondicionador › Champús","Belleza","B0CKMW5F4H","3282770390032","","3282770390032","03282770390032","3282770390032","","","","","SHAMPOO","DUCRAY","Ducray","","","3282770390032","","","500 ml (Paquete de 1)","500","mililitro","No aplica","Líquido","","","","","Adultos unisex","","","Equilibrado","","","","","","1","","","2023-11-22","","0","no","","","no","685","450","","","450","","","","","No aplicable","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/51fznNi9hDL.jpg;https://m.media-amazon.com/images/I/51hOylaA6cL.jpg;https://m.media-amazon.com/images/I/513bFWtOWWL.jpg;https://m.media-amazon.com/images/I/51d6ggzeOBL.jpg;https://m.media-amazon.com/images/I/51jUUrUvMDL.jpg;https://m.media-amazon.com/images/I/61HZrwpACXL.jpg;https://m.media-amazon.com/images/I/51P4bOU8NeL.jpg;https://m.media-amazon.com/images/I/51WSxtHYooL.jpg","Ducray Elution Champú 400 Ml Unisex","11624","11709","109","Belleza","beauty_display_on_website","# 803 | Top 1.79% | Champús","","99 %","","4.5","414","94","2026/04/21 12:14","€ 14.75","€ 15.42","3","57 %","Distribuidor de Parafarmacia (78%) / A3DX4J4S0OG6AR","ES","-","0 %","16 %","6","€ 0.59","32","no","no","yes","no","","","","€ 15.75","€ 13.56","1 %","€ 22.99","€ 21.05","18","€ 3.91","14.98 %","€ 2.21","€ 15.75","€ 16.13","742","","","","","","","no","","","","100 %","","","","","","","","","","","€ 18.15","€ 18.15","","","","","14","14","13","2","1","12","12","","","2020/09/27","2020/09/03","Ducray-Champu-Elucion-400Ml-300","Belleza","Champús","Belleza › Belleza › Cuidado del cabello › Champú y acondicionador › Champús","Belleza","B08HMWV4GD","3282770390032","","3282770390032","03282770139082, 03282770390032","170797","B0DK26614D","B08BJ113SM,B08HMWV4GD","","B00J5FWHQ6,B00D3HR76M","SHAMPOO","NOVA ENGEL","Ducray","","","170797","ScentName: Unscented; Size: 400 ml (Paquete de 1);","Único","400 ml (Paquete de 1)","400","mililitro","Unscented","Líquido","","Moderno","","","Unisex Adult","Lavado y cuidado del cabello","","Anticaspa","","","","","","1","","","2025-04-01","English: Manual; English: Manual; English: Manual; English: Manual; English: Manual; Turkish: Menu; Turkish: Menu; Turkish: Menu; Turkish: Menu; Turkish: Menu","0","no","","","yes","582","450","1","18000","400","","Shampoo","","","Mantener fuera del alcance de los niños.","no","no","","no","no","no","no","no","","","-","","",""
"es","https://m.media-amazon.com/images/I/61flAccGJHL.jpg;https://m.media-amazon.com/images/I/71RmDiBSBrL.jpg;https://m.media-amazon.com/images/I/718484OIe2L.jpg;https://m.media-amazon.com/images/I/61fL6VKmlBL.jpg","CREASTIM REACTIV LOCION 60ML","56691","53357","18","Belleza","beauty_display_on_website","# 653 | Top 4% | Lociones corporales","","","","4.4","64","-","2026/04/21 05:26","€ 41.45","€ 41.45","77","1 %","Beauty Lovy (48%) / A3IKBD5C66HYUX","PT","-","0 %","98 %","2","€ 0.01","8","no","no","no","no","","","","€ 41.45","€ 35.24","0 %","","€ 49.30","","€ 3.70","15.01 %","€ 6.22","€ 41.45","€ 41.45","157","","","","","","","no","","","","100 %","","","","","","","","","","","","","","","","","8","8","9","","2","8","8","","","2023/06/05","2022/10/19","Ducray-CREASTIM-REACTIV-LOCION-60ML","Belleza","Lociones corporales","Belleza › Belleza › Cuidado de la piel › Cuerpo › Hidratantes › Lociones corporales","Material de oficina","B0BGJ8TFYP","3282770155112","","3282770155112","","3282770155112","","","","","OFFICE_PRODUCTS","Ducray","Ducray","","","","","","","60","mililitro","Sin fragancia","","","","","","","","","","","","","","","","","","2019-06-01","English: Published","0","no","","","no","265","180","1","70000","180","","","","","","no","no","Proper Shipping Name: ETHANOL; United Nations Regulatory Id: UN1170; Regulatory Packing Group: II; Transportation Regulatory Class: 3; Exception: AE_LimitedQuantity, AU_LimitedQuantity, BE_LimitedQuantity, BR_LimitedQuantity, CA_LimitedQuantity, CN_GroundOnly, DE_LimitedQuantity, EG_LimitedQuantity, ES_LimitedQuantity, FR_LimitedQuantity, GB_LimitedQuantity, IE_LimitedQuantity, IN_GroundOnly, IT_LimitedQuantity, JP_GroundOnly, MX_LimitedQuantity, NL_LimitedQuantity, PL_LimitedQuantity, SA_LimitedQuantity, SE_LimitedQuantity, SG_LimitedQuantity, TR_LimitedQuantity, US_ORMD, ZA_LimitedQuantity;","yes","no","no","no","no","","","-","","",""
