"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"29/04/2026","Amazon.es","B0FK5X28D6","T7-0CG9-DSP7","Dios, Hitler y Gandhi entran en un Bar…– Juego de Mesa Adulto de Debate provocador y Humor Inteligente, Defiende Ideas controvertidas con lógica, Velocidad o sátira (Idioma Español)","199,90","99,95","99,95","0,00","10","5","5","0","0","0,00","-22,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-78,69","198,94","-48,75","-52,04","98,15","98,15","32,73","7,41","156","9,62","-22,22","0,00","201,33","FBA","0,00"
"29/04/2026","Amazon.es","B0B3S21BDY","WM50074","Winning Moves Guess Who Super Mario Juego De Mesa Quien Es Quien - Ideal para Niños De 3 Años En Adelante, Este Juego para 2 Jugadores Trae A Tus Personajes Favoritos De Super Mario.","199,92","0,00","0,00","0,00","8","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-47,84","152,08","-68,64","-30,36","53,08","53,08","26,55","0,00","36","22,22","0,00","0,00","77,33","FBA","0,00"
"29/04/2026","Amazon.es","B0C64JB1X7","0Y-BKVM-1IFT","Double 5 – Juego de Cartas Educativo y Divertido, Matemáticas Rápidas y Estrategia para Niños y Adultos, Ideal para Juegos de Mesa Infantiles, Regalos Creativos y Diversión en Español","41,94","0,00","0,00","0,00","6","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-21,52","20,42","-7,50","-1,21","11,71","11,71","27,91","0,00","5","120,00","0,00","0,00","156,13","FBA","0,00"
"29/04/2026","Amazon.es","B0CXYY1JH9","64320591","Bandai Zap Chef - Máquina de helado instantánea, crea deliciosas golosinas en cuestión de minutos con el laboratorio enrollado de Zap Chef, perfecto para niños, juego de máquina de rollos de helado","79,96","0,00","0,00","0,00","4","0","0","0","0","0,00","-2,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-22,77","55,00","-37,80","-13,88","3,32","3,32","4,16","2,74","37","10,81","-2,19","0,00","8,78","FBA","0,00"
"29/04/2026","Amazon.es","B0C64LHJT2","4O-KBRE-B8Q6","Nippon | Juego de Mesa sobre Cultura Japonesa, Anime y Sushi (Idioma Español)","23,98","19,99","19,99","0,00","1","1","1","0","0","0,00","-15,15","0,00","0,00","0,00","0,00","0,00","0,00","-4,12","0,00","0,00","0,00","-8,02","16,68","-7,22","-7,63","1,83","1,83","4,16","34,46","70","2,86","-15,15","0,00","25,35","FBA","0,00"
"29/04/2026","Amazon.es","B08G1M724F","WM40297","Winning Moves Trivial Pursuit Harry Potter - Juegos De Mesa Niños 10 Años, Juegos De Mesa Adulto, Juego para 2+ Jugadores, Juego De Quiz, Trivia para Fans De Harry Potter","74,98","0,00","0,00","0,00","2","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-13,45","61,53","-5,26","-13,01","43,26","43,26","57,69","0,00","45","4,44","0,00","0,00","822,43","FBA","0,00"
"29/04/2026","Amazon.es","B0F8VTB344","B3-POVL-HWCF","Abuelita Voladora – Juego de Mesa dinámico y Divertido, Ideal para niños Desde 4 años, Fomenta la coordinación y Trabajo en Equipo, Fiestas, reuniones Familiares y Regalos Infantiles","24,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,62","28,61","-13,46","-4,34","10,81","10,81","43,27","0,00","6","16,67","0,00","0,00","80,31","FBA","0,00"
"29/04/2026","Amazon.es","B0B3S1TB3Z","7Z-MSKZ-DKI2","Winning Moves Trivial Pursuit Terror - Juegos De Mesa Adulto, Juego para 2+ Jugadores, Juego De Quiz, Trivia para Los Amantes De La Groza","34,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10,33","24,66","-4,53","-6,07","14,06","14,06","40,18","0,00","16","6,25","0,00","0,00","310,38","FBA","0,00"
"29/04/2026","Amazon.es","B0F8W6QF1Q","IA-AIQW-970Z","Creative Live Games The Voting Game – Juego de Cartas en Español para Adulto con Preguntas atrevidas y votaciones secretas, 250 Cartas con situaciones Divertidas (Idioma Español)","19,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-7,10","12,89","-7,99","-3,47","1,43","1,43","7,16","0,00","3","33,33","0,00","0,00","17,90","FBA","0,00"
"29/04/2026","Amazon.es","B0GL925YKR","CT01437-PT","Nippon | Juego de Mesa sobre Cultura Japonesa, Anime y Sushi (Linguagem Português)","19,99","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-4,01","15,98","-3,61","0,00","12,37","12,37","61,88","0,00","1","100,00","0,00","0,00","342,66","FBA","0,00"
